"","X","logFC","logCPM","PValue","FDR","gene.name"
"9275","KH2013:KH.C14.435",0.105004131464736,7.20347064904568,0.665852007451547,1,"ANKRD10"
"9276","KH2013:KH.L3.3",-0.20119615840066,4.08108394497961,0.666111025749087,1,"CETN2/4"
"9277","KH2013:KH.C3.578",-0.241601940415462,3.46192409856464,0.66612661588793,1,"DDA1"
"9278","KH2013:KH.C1.179",0.145427271824962,4.96010981378744,0.666128831601655,1,"ABCF3"
"9279","KH2013:KH.S164.8",-0.111952990393849,5.96260378132333,0.666276279786507,1,"MRPL24"
"9280","KH2013:KH.C10.122",0.102763569881038,8.30155387222227,0.666387332772295,1,"ARF6"
"9281","KH2013:KH.C3.19",-0.101710164157143,9.15105261326827,0.666587088657836,1,"NOP2"
"9282","KH2013:KH.L141.40",-0.190138895528402,4.29187375789148,0.666590057458146,1,"AGMO"
"9283","KH2013:KH.C4.471",0.101889860260129,7.23691555313227,0.666605820236175,1,"AKAP1"
"9284","KH2013:KH.S1184.2",-0.104319175960909,6.11987593954889,0.666704308145528,1,"PUS7L"
"9285","KH2013:KH.C12.218",-0.258007833016928,4.54512318090653,0.666782485889754,1,"KH2013:KH.C12.218_ACHE"
"9286","KH2013:KH.C11.527",-0.119735810749165,5.61181024534279,0.666928957675494,1,"ICT1"
"9287","KH2013:KH.C3.736",-0.102758012988413,8.30901567167877,0.666980068671377,1,"KH2013:KH.C3.736_TUB1/3"
"9288","KH2013:KH.C10.247",-0.371381175827416,1.34363713499414,0.667020279419563,1,"KH2013:KH.C10.247"
"9289","KH2013:KH.C7.204",0.104471862373543,6.43442435608064,0.667216300609579,1,"NDUFB5"
"9290","KH2013:KH.C2.763",0.263793062528358,3.28433255709327,0.667218416473471,1,"MUTED"
"9291","KH2013:KH.C4.289",-0.592215620011774,0.0705396275650345,0.667220719594432,1,"KH2013:KH.C4.289"
"9292","KH2013:KH.S1056.1",0.378306960839816,1.16175946675331,0.667234918937626,1,"KH2013:KH.S1056.1"
"9293","KH2013:KH.C8.148",-0.370040601003477,1.37062521166601,0.667253310578288,1,"CLEC-83"
"9294","KH2013:KH.C2.286",0.110953354385534,6.29961427636588,0.667298286963382,1,"GGT7"
"9295","KH2013:KH.L116.53",-0.117102679470484,5.81869927993187,0.667301163639863,1,"B4GALT5/6"
"9296","KH2013:KH.S1001.1",0.337435695979945,2.09992831818278,0.66733610849178,1,"KH2013:KH.S1001.1_TTLL7"
"9297","KH2013:KH.C7.398",0.629953057275993,0.431082150636157,0.667358785712924,1,"KH2013:KH.C7.398_SRC"
"9298","KH2013:KH.C6.120",0.280775704968994,2.67570451332684,0.667405561087922,1,"KH2013:KH.C6.120_XDH"
"9299","KH2013:KH.S1053.2",0.450308145295925,0.0464635686469449,0.667472777243426,1,"KH2013:KH.S1053.2"
"9300","KH2013:KH.C5.285",-0.0997761973036534,6.62336594719097,0.667473690857537,1,"WDR1"
"9301","KH2013:KH.L132.2",0.509243782449158,-0.476245368980939,0.667519033211342,1,"KH2013:KH.L132.2"
"9302","KH2013:KH.C10.22",-0.105473482475006,6.89976337282927,0.667548757678722,1,"SF1"
"9303","KH2013:KH.C3.188",-1.28383327969297,-2.56869393322955,0.667565089057378,1,"KH2013:KH.C3.188"
"9304","KH2013:KH.S816.2",-1.2838384572135,-2.56869393322955,0.667614959509211,1,"KH2013:KH.S816.2_ZIC1/3/4/5/6"
"9305","KH2013:KH.S742.2",0.112649353661535,6.35779963067999,0.667638668686896,1,"FGFR1/2/3/4"
"9306","KH2013:KH.C3.261",-0.0996941171615819,7.7030774543206,0.667686438151697,1,"YIF1B"
"9307","KH2013:KH.L116.80",-0.265743930490146,2.95045988085098,0.667698905619837,1,"FTSJ2"
"9308","KH2013:KH.C2.793",0.118587164884189,5.62870185743161,0.667722057526257,1,"TBCK"
"9309","KH2013:KH.C10.103",0.661856955329865,-1.13100269065397,0.66773295336116,1,"KH2013:KH.C10.103"
"9310","KH2013:KH.C6.222",-0.20262482408238,3.90798161847478,0.667782597980994,1,"KH2013:KH.C6.222"
"9311","KH2013:KH.S654.5",0.0952477750239271,7.82265640562506,0.667802575544952,1,"STAG1/2"
"9312","KH2013:KH.S1446.1",0.152674990732759,4.84812980973475,0.667811257258533,1,"AKT1"
"9313","KH2013:KH.C12.649",-0.685937912764215,-0.646399784643932,0.667827282027006,1,"KH2013:KH.C12.649"
"9314","KH2013:KH.C3.600",0.368094860221088,1.69312002487006,0.667976295037142,1,"KH2013:KH.C3.600_T05B4.12/13/8"
"9315","KH2013:KH.L78.9",-0.72023304611085,-0.959448915961166,0.668076337309886,1,"KH2013:KH.L78.9"
"9316","KH2013:KH.L139.16",0.971776350332275,-0.370482146563264,0.668084331508062,1,"KH2013:KH.L139.16_SLC22A15"
"9317","KH2013:KH.C10.348",-0.603534640783347,-0.880862633895972,0.668096590124769,1,"FUT6/9"
"9318","KH2013:KH.C9.411",-0.809972341464871,-1.87219859829816,0.66813004198953,1,"retinoid"
"9319","KH2013:KH.C3.906",-0.210563102116636,3.91479531616455,0.668176342285019,1,"SCPEP1"
"9320","KH2013:KH.C11.689",0.75247200139846,-0.00548681338005105,0.668198900186262,1,"SHOX/2"
"9321","KH2013:KH.C8.41",0.104966847288841,6.26590219950373,0.668396319170863,1,"TWIN"
"9322","KH2013:KH.C12.441",-0.0986792231888063,10.3128971933502,0.668573207485002,1,"IGF2BP1/2/3"
"9323","KH2013:KH.C9.715",0.137935163958166,5.3228146587132,0.668642861772082,1,"KH2013:KH.C9.715_NBEAL1/2"
"9324","KH2013:KH.L65.3",0.0998898202802967,7.06327869426052,0.668675765913366,1,"CLASP1/2"
"9325","KH2013:KH.L116.73",-0.150885618758427,5.17667536481869,0.668703083953204,1,"TNFRSFA"
"9326","KH2013:KH.C2.939",0.0971602933142412,7.6964668292644,0.668721351789111,1,"DPYS"
"9327","KH2013:KH.L5.4",-1.28220521558196,-2.56469027837647,0.668757504748355,1,"KH2013:KH.L5.4"
"9328","KH2013:KH.C14.562",0.791501093777322,-1.04325215904135,0.668833597653252,1,"KH2013:KH.C14.562_GPR133"
"9329","KH2013:KH.C3.316",0.143134352774898,5.08098588565871,0.668866800839219,1,"KH2013:KH.C3.316_TSP"
"9330","KH2013:KH.C9.642",1.05231381272335,-2.57500691652919,0.668876396345648,1,"KH2013:KH.C9.642"
"9331","KH2013:KH.L18.36",-0.201486409435197,3.93391315194136,0.668940326064071,1,"ZFYVE21"
"9332","KH2013:KH.C2.540",1.05229703480134,-2.57500691652919,0.66894822262761,1,"KH2013:KH.C2.540"
"9333","KH2013:KH.C3.852",-0.410395652858664,0.562185260665948,0.669036826012345,1,"KH2013:KH.C3.852"
"9334","KH2013:KH.C3.749",0.10662969244398,6.11468732049784,0.669076712651147,1,"TEX10"
"9335","KH2013:KH.C8.312",-0.304646204986389,2.4805103825269,0.669090719610626,1,"CCDC24"
"9336","KH2013:KH.C2.458",0.0972699250175002,7.39400724638871,0.669181543937701,1,"IGBP1"
"9337","KH2013:KH.C4.84",0.224618530262793,4.97579898704105,0.669225597890095,1,"OTX1/2/5"
"9338","KH2013:KH.L108.57",0.390261261857725,1.55101441046263,0.669256047831824,1,"SPN-F"
"9339","KH2013:KH.L170.27",-0.206696635369862,3.96341425809706,0.669317493450999,1,"KH2013:KH.L170.27_GAA"
"9340","KH2013:KH.C9.546",-0.432121266168672,1.32545876300358,0.669414471917727,1,"KH2013:KH.C9.546_LGR3"
"9341","KH2013:KH.L18.28",0.0965901148069765,7.7174721924486,0.669418954415254,1,"AIMP2"
"9342","KH2013:KH.L108.29",-0.757788276044034,-0.861485150246407,0.66941988412616,1,"KH2013:KH.L108.29"
"9343","KH2013:KH.C1.310",0.362350566520537,1.42166190354786,0.669622139230608,1,"KH2013:KH.C1.310_WDR64"
"9344","KH2013:KH.C4.11",0.103552264653825,7.44932447327115,0.669825572225861,1,"NPEPL1"
"9345","KH2013:KH.C11.639",0.749052460313098,0.156196773948281,0.669843466784459,1,"KH2013:KH.C11.639_CCDC37"
"9346","KH2013:KH.L22.33",0.0958676731727769,7.95301590033738,0.67002268571321,1,"KH2013:KH.L22.33_TPMT"
"9347","KH2013:KH.S534.6",-0.323071327616159,2.52431027343022,0.670163840618867,1,"NCALD"
